lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,16,"(256, 128, 64, 64, 32, 8, 8)",200,73.5341,-0.2734
0.001,16,"(256, 128, 64, 64, 32, 8, 8)",300,62.8419,-0.0883
0.001,16,"(256, 128, 64, 64, 32, 8, 8)",400,67.5041,-0.169
0.001,16,"(256, 128, 64, 64, 32, 8, 8)",500,66.7967,-0.1568
0.001,16,"(256, 128, 128, 64, 64, 32, 8)",100,59.7001,-0.0339
0.001,16,"(256, 128, 128, 64, 64, 32, 8)",200,70.3241,-0.2178
0.001,16,"(256, 128, 128, 64, 64, 32, 8)",300,67.4552,-0.1682
0.001,16,"(256, 128, 128, 64, 64, 32, 8)",400,60.0259,-0.0395
0.001,16,"(256, 128, 128, 64, 64, 32, 8)",500,64.06,-0.1094
0.001,16,"(64, 32, 32, 16, 8)",100,64.3567,-0.1145
0.001,16,"(64, 32, 32, 16, 8)",200,56.4463,0.0225
0.001,16,"(64, 32, 32, 16, 8)",300,59.2535,-0.0261
0.001,16,"(64, 32, 32, 16, 8)",400,58.1885,-0.0077
0.001,16,"(64, 32, 32, 16, 8)",500,67.4329,-0.1678
0.001,16,"(32, 32, 16, 8)",100,62.3145,-0.0791
0.001,16,"(32, 32, 16, 8)",200,61.5574,-0.066
0.001,16,"(32, 32, 16, 8)",300,63.8593,-0.1059
0.001,16,"(32, 32, 16, 8)",400,60.6708,-0.0507
0.001,16,"(32, 32, 16, 8)",500,60.3836,-0.0457
0.001,24,"(1024, 512, 256, 128, 64, 32, 16, 8)",100,61.2797,-0.0612
0.001,24,"(1024, 512, 256, 128, 64, 32, 16, 8)",200,62.2969,-0.0788
0.001,24,"(1024, 512, 256, 128, 64, 32, 16, 8)",300,62.6624,-0.0852
0.001,24,"(1024, 512, 256, 128, 64, 32, 16, 8)",400,64.9538,-0.1248
0.001,24,"(1024, 512, 256, 128, 64, 32, 16, 8)",500,67.7057,-0.1725
0.001,24,"(512, 256, 128, 64, 32, 16, 8)",100,58.893,-0.0199
0.001,24,"(512, 256, 128, 64, 32, 16, 8)",200,66.2405,-0.1471
0.001,24,"(512, 256, 128, 64, 32, 16, 8)",300,61.8821,-0.0716
0.001,24,"(512, 256, 128, 64, 32, 16, 8)",400,68.6532,-0.1889
0.001,24,"(512, 256, 128, 64, 32, 16, 8)",500,65.7699,-0.139
0.001,24,"(256, 128, 64, 32, 16, 8)",100,57.2151,0.0092
0.001,24,"(256, 128, 64, 32, 16, 8)",200,63.1456,-0.0935
0.001,24,"(256, 128, 64, 32, 16, 8)",300,58.3437,-0.0104
0.001,24,"(256, 128, 64, 32, 16, 8)",400,61.9741,-0.0732
0.001,24,"(256, 128, 64, 32, 16, 8)",500,64.7818,-0.1219
0.001,24,"(128, 64, 32, 16, 8)",100,62.3198,-0.0792
0.001,24,"(128, 64, 32, 16, 8)",200,59.8226,-0.036
0.001,24,"(128, 64, 32, 16, 8)",300,58.0707,-0.0056
0.001,24,"(128, 64, 32, 16, 8)",400,58.0731,-0.0057
0.001,24,"(128, 64, 32, 16, 8)",500,64.9711,-0.1251
0.001,24,"(64, 32, 16, 8)",100,62.7659,-0.0869
0.001,24,"(64, 32, 16, 8)",200,64.6577,-0.1197
0.001,24,"(64, 32, 16, 8)",300,62.1995,-0.0771
0.001,24,"(64, 32, 16, 8)",400,67.7729,-0.1737
0.001,24,"(64, 32, 16, 8)",500,82.8542,-0.4348
0.001,24,"(32, 16, 8)",100,61.0961,-0.058
0.001,24,"(32, 16, 8)",200,60.0236,-0.0395
0.001,24,"(32, 16, 8)",300,59.4649,-0.0298
0.001,24,"(32, 16, 8)",400,60.315,-0.0445
0.001,24,"(32, 16, 8)",500,64.5017,-0.117
0.001,24,"(16, 8)",100,58.3643,-0.0107
0.001,24,"(16, 8)",200,59.545,-0.0312
0.001,24,"(16, 8)",300,60.6384,-0.0501
0.001,24,"(16, 8)",400,59.7979,-0.0356
0.001,24,"(16, 8)",500,59.8956,-0.0372
0.001,24,"(256, 128, 128, 64, 64, 16, 8)",100,69.2806,-0.1998
0.001,24,"(256, 128, 128, 64, 64, 16, 8)",200,73.5827,-0.2743
0.001,24,"(256, 128, 128, 64, 64, 16, 8)",300,73.8919,-0.2796
0.001,24,"(256, 128, 128, 64, 64, 16, 8)",400,64.8018,-0.1222
0.001,24,"(256, 128, 128, 64, 64, 16, 8)",500,79.7622,-0.3813
0.001,24,"(512, 256, 256, 128, 32, 32, 8)",100,63.4777,-0.0993
0.001,24,"(512, 256, 256, 128, 32, 32, 8)",200,65.8228,-0.1399
0.001,24,"(512, 256, 256, 128, 32, 32, 8)",300,62.0082,-0.0738
0.001,24,"(512, 256, 256, 128, 32, 32, 8)",400,69.7801,-0.2084
0.001,24,"(512, 256, 256, 128, 32, 32, 8)",500,67.3468,-0.1663
0.001,24,"(256, 128, 64, 64, 32, 8, 8)",100,59.8414,-0.0363
0.001,24,"(256, 128, 64, 64, 32, 8, 8)",200,58.041,-0.0051
0.001,24,"(256, 128, 64, 64, 32, 8, 8)",300,68.2657,-0.1822
0.001,24,"(256, 128, 64, 64, 32, 8, 8)",400,59.7116,-0.0341
0.001,24,"(256, 128, 64, 64, 32, 8, 8)",500,67.4112,-0.1674
0.001,24,"(256, 128, 128, 64, 64, 32, 8)",100,61.0482,-0.0572
0.001,24,"(256, 128, 128, 64, 64, 32, 8)",200,67.1657,-0.1631
0.001,24,"(256, 128, 128, 64, 64, 32, 8)",300,66.3164,-0.1484
0.001,24,"(256, 128, 128, 64, 64, 32, 8)",400,58.0772,-0.0058
0.001,24,"(256, 128, 128, 64, 64, 32, 8)",500,68.0178,-0.1779
0.001,24,"(64, 32, 32, 16, 8)",100,62.4867,-0.0821
0.001,24,"(64, 32, 32, 16, 8)",200,66.3273,-0.1486
0.001,24,"(64, 32, 32, 16, 8)",300,66.4103,-0.1501
0.001,24,"(64, 32, 32, 16, 8)",400,58.0723,-0.0057
0.001,24,"(64, 32, 32, 16, 8)",500,62.6405,-0.0848
0.001,24,"(32, 32, 16, 8)",100,58.1794,-0.0075
0.001,24,"(32, 32, 16, 8)",200,61.9767,-0.0733
0.001,24,"(32, 32, 16, 8)",300,63.6253,-0.1018
0.001,24,"(32, 32, 16, 8)",400,64.1002,-0.1101
0.001,24,"(32, 32, 16, 8)",500,69.7723,-0.2083
0.001,32,"(1024, 512, 256, 128, 64, 32, 16, 8)",100,64.7379,-0.1211
0.001,32,"(1024, 512, 256, 128, 64, 32, 16, 8)",200,60.6082,-0.0496
